shap_ndvi,shap_population_density,shap_building_density,shap_building_count,shap_road_density,shap_road_count,shap_water_coverage,cell_id,predicted_lst,observed_lst
-0.3109310528204666,1.6795361095562173,0.1514199084551963,0.020447546002471416,0.20377514824274898,0.06321483923653128,0.13325254253450197,2,40.955429364337746,41.72636
-0.2847013715926258,1.6290255521458614,0.1529069232258349,0.026514550719046084,0.20196528756511564,0.08130577399355156,0.1321221648151227,3,40.95385320400242,41.72636
-0.18482700269574195,1.6145082578490695,0.1429936626502237,0.027731923545493073,0.08957704422777696,0.0835251565858923,0.13329577590511382,4,40.92151914119832,41.204544
0.6093060519947047,0.5375001872625499,-0.35213308524738135,-0.14609130496076217,-0.03905668875702932,-0.04936923677885582,-0.10174920398304958,10,39.47312104266069,38.973637
-0.6817617909235353,0.7822643218964904,0.1262982942550985,0.015595475843280289,0.023113495541710195,0.024156695871363282,0.10487938063867196,13,39.40926019625356,39.760914
-0.5590330462238308,1.4482316186029527,0.14493545188511167,0.017040385561927454,0.09425859358330538,0.04169767775587777,0.12783399721136782,17,40.32967900150721,41.546364
-0.19510431791619984,1.741669770270154,0.15798405680408847,0.023014767645221555,0.17000340073693035,0.08671712722438946,0.1339871268474622,18,41.13298625474258,41.72636
-0.20573496913664727,1.6715948724910654,0.14365300675883216,0.021932427792275548,0.0773457399738039,0.056334738803345476,0.13203090420510044,19,40.91187104401831,41.72636
-0.20802898547452797,1.6441909838472812,0.1451172188947398,0.02617356131015102,0.10493245774910392,0.08043553134595596,0.13312463883811332,20,40.9406597296413,41.204544
-0.3862638157588785,1.5533230005314185,0.1508399320987143,0.024128502573305538,0.13045360806254055,0.05105090939729867,0.1278331366944388,21,40.666079596729325,41.204544
-0.5509132215796844,1.147718596758307,0.14341841430638078,0.021610050470645688,0.20904811417399546,0.10011239423780495,0.11751335946220973,22,40.20322203096014,40.702732
-0.5670603006136037,0.9696742812210755,0.12923459959306735,0.022360458896498257,-0.04571657869812505,0.03991461804679787,0.11403660632909167,24,39.67715800790531,39.159092
-0.5018143095084575,0.7193145438361866,0.12995662526148363,0.022196517675002116,0.03109781331296184,0.037089230952097846,0.10888055224293466,25,39.561435296902694,39.159092
0.6228962640946991,0.655039257166585,-0.22612882037170887,-0.1473801822247476,-0.004664148489616432,0.037706500752764764,0.11477225676144538,28,40.06695545081991,39.459084
0.2906679119648453,0.5783036297515296,-0.31534135570349114,-0.06774937747822589,-0.05640328390554333,-0.028859677069266496,0.11886763259824684,29,39.534199803288665,39.180912
0.6503818107642423,0.4866715467299306,-0.2753295363604814,-0.18449634280098548,-0.03807862812328605,-0.046937420773556136,0.10858762987346993,30,39.715513382439845,39.180912
0.6727435008652947,0.5054937206440429,-0.5854918290779536,-0.04004623581032558,-0.036975524069572,-0.05855712625163874,0.10189301289948266,31,39.57377384232986,38.922729
0.2359037942812626,0.5942243351329511,-0.27857879754859294,-0.007979546193061663,0.08553565188862947,0.0056238656882212435,-0.47700252005428045,32,39.17244110632564,38.973637
-0.7166524802378686,1.095435866641315,0.13270812142229663,0.014248792953691925,-0.017201765467440965,0.0326201884693579,0.11308498931967909,34,39.66895803623151,39.760914
-0.7245015236970043,1.081912728788097,0.1306864183688695,0.013835377286409331,-0.018072872751773633,0.031091592483623632,0.1124659817343015,35,39.64213202534301,39.760914
