fold,train_samples,test_samples,mae,rmse,r2
1,1621,413,1.0698027100226273,1.3316704418430332,0.33680130012940745
2,1639,395,0.6795339296049283,0.8683569390566281,0.6082752485913656
3,1645,389,0.6677190674240207,0.8432097415330587,0.2923088790939625
4,1622,412,0.7411051567903382,0.9234315413376689,0.5817821780793306
5,1609,425,0.8441186528006964,1.071962053559493,0.46914242522620286
